,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,kmeans-2clusters
1,0.573,0.145,84.967,0.433,0.361,0.0,4,0.744,7,275294,-8.068,0.398,0,audio_features,spotify:track:2unYQbgst3vkYdAxH1rbEp,0
6,0.41,0.111,158.05,0.075,0.235,0.0,4,0.709,10,206582,-13.139,0.341,0,audio_features,spotify:track:3qXIUQwBPM6ZMgDQZxQAYX,0
10,0.588,0.117,96.032,0.2,0.524,0.00033,4,0.882,11,229091,-9.368,0.651,1,audio_features,spotify:track:7EVqVTLvN1u5SQZlRGCkow,0
11,0.257,0.0935,75.752,0.0252,0.907,0.183,4,0.547,0,187867,-12.358,0.169,1,audio_features,spotify:track:7pKfPomDEeI4TPT6EOYjn9,0
12,0.61,0.219,89.927,0.256,0.64,3.25e-05,4,0.638,8,307840,-9.588,0.473,0,audio_features,spotify:track:2TYx5h3sQMNbDvX2ymvlDX,0
13,0.441,0.362,75.221,0.0248,0.232,0.149,4,0.521,0,511013,-11.176,0.238,0,audio_features,spotify:track:236mI0lz8JdQjlmijARSwY,0
15,0.647,0.0604,124.018,0.131,0.608,0.0,4,0.839,2,243547,-7.624,0.44,1,audio_features,spotify:track:6KMvWbvvvD205ZhvXmjxVr,0
17,0.667,0.258,128.459,0.1,0.342,0.0,4,0.53,4,211385,-7.055,0.135,0,audio_features,spotify:track:1jht5YeGQx0Rg8qgcEbUpz,0
18,0.447,0.148,122.806,0.0303,0.49,0.012,3,0.453,0,407587,-10.648,0.18,1,audio_features,spotify:track:6WjWaFu6YADsMKqjmZE2g0,0
19,0.296,0.183,79.273,0.0277,0.531,0.801,4,0.413,8,424000,-13.904,0.144,0,audio_features,spotify:track:0CzeAbfKFnxnWjwo5iYiCG,0
21,0.475,0.0887,175.977,0.363,0.524,0.0,4,0.643,9,201550,-7.964,0.157,1,audio_features,spotify:track:6ipDTIeurrftM88oQh88IZ,0
22,0.506,0.108,107.134,0.135,0.785,0.0,4,0.652,9,255962,-9.921,0.0748,0,audio_features,spotify:track:652mf6m91sSWCxsnHDwoWR,0
23,0.326,0.191,79.206,0.0386,0.864,0.0,4,0.399,7,174000,-9.239,0.546,0,audio_features,spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,0
24,0.309,0.134,127.155,0.0299,0.153,0.22,4,0.479,11,379213,-14.751,0.182,0,audio_features,spotify:track:7Fg4jpwpkdkGCvq1rrXnvx,0
29,0.14,0.309,67.058,0.0339,0.833,0.00169,4,0.262,8,441560,-20.232,0.149,1,audio_features,spotify:track:7AOwexG6AtkrmI7kdacXvQ,0
31,0.739,0.139,98.091,0.207,0.541,0.0,4,0.664,9,284000,-7.207,0.438,0,audio_features,spotify:track:7eBYMVok43QesT0KnuIkjn,0
32,0.554,0.112,164.085,0.052,0.547,5.6e-05,4,0.663,7,176347,-6.793,0.279,1,audio_features,spotify:track:1ef8jV2jElVL74JzBKo6K7,0
34,0.497,0.0504,95.818,0.105,0.41,0.0499,4,0.749,10,438493,-12.609,0.585,0,audio_features,spotify:track:1ko2lVN0vKGUl9zrU0qSlT,0
41,0.43,0.188,164.267,0.0322,0.546,1.87e-05,4,0.255,9,197813,-12.564,0.546,1,audio_features,spotify:track:39q7xibBdRboeMKUbZEB6g,0
42,0.327,0.126,98.998,0.0253,0.802,1.26e-05,4,0.672,0,247954,-11.196,0.0994,1,audio_features,spotify:track:3XARTfDznSPg0HVPCGJDz0,0
43,0.237,0.109,73.024,0.0344,0.638,0.305,4,0.263,3,289792,-13.738,0.0461,1,audio_features,spotify:track:3tJjZMHLqhD8DaGgdBICnc,0
44,0.801,0.288,113.98,0.0616,0.5,0.363,4,0.408,5,428267,-6.648,0.262,1,audio_features,spotify:track:3yePZLjcJ4XNbh0vlKTZBo,0
46,0.3,0.154,162.874,0.0427,0.894,0.0,3,0.403,2,245427,-6.475,0.234,1,audio_features,spotify:track:6CGf2aPvKj7497cZ6JMmGT,0
47,0.366,0.106,91.147,0.0312,0.273,9.04e-05,4,0.754,8,287440,-10.07,0.469,1,audio_features,spotify:track:1KU5EHSz04JhGg3rReGJ0N,0
52,0.668,0.148,87.959,0.0793,0.522,0.0,4,0.621,6,255747,-7.146,0.663,0,audio_features,spotify:track:7qWwr8sJ6faH3EKrbnpn2X,0
53,0.179,0.0886,96.529,0.0326,0.879,0.0,4,0.332,5,125667,-11.83,0.315,1,audio_features,spotify:track:3BQHpFgAp4l80e1XslIjNI,0
57,0.224,0.13,140.164,0.056,0.683,0.0,4,0.717,1,159093,-10.832,0.594,1,audio_features,spotify:track:1zdBFL2UtwbCEubEdcdSmU,0
60,0.74,0.343,155.005,0.32,0.74,1.45e-06,4,0.687,2,284373,-6.581,0.754,1,audio_features,spotify:track:6ylgfbnMGbhHqnIIlvSlff,0
62,0.386,0.119,107.756,0.426,0.226,0.0,5,0.538,6,310152,-14.142,0.381,0,audio_features,spotify:track:0bdeLFRIziXGqXdz5UJDb0,0
77,0.395,0.0984,132.611,0.0293,0.359,0.000173,4,0.456,2,195160,-10.129,0.243,0,audio_features,spotify:track:7uRcUUmZpU4YVZFNVZnyXd,0
