,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,kmeans-2clusters
0,0.238,0.109,81.264,0.0326,0.0421,2.73e-05,3,0.289,0,282493,-12.244,0.187,1,audio_features,spotify:track:4MpIwDaZdFLafMDcAx4k4q,0
2,0.734,0.22,120.55,0.0374,0.00079,0.00554,4,0.461,1,357933,-9.379,0.423,1,audio_features,spotify:track:6F6DxQ3XjToEHX1e2KKSbg,0
3,0.551,0.127,118.657,0.0331,0.00606,0.000256,4,0.491,8,259867,-9.652,0.349,0,audio_features,spotify:track:2L6LeWFHYhcxisYJ9X0Adn,0
5,0.656,0.139,153.747,0.0319,0.0431,0.000161,4,0.353,7,245627,-5.712,0.195,0,audio_features,spotify:track:1EJZQ6uhrvl4JtoKn7RKFd,0
6,0.41,0.111,158.05,0.075,0.235,0.0,4,0.709,10,206582,-13.139,0.341,0,audio_features,spotify:track:3qXIUQwBPM6ZMgDQZxQAYX,0
7,0.544,0.11,127.284,0.0364,0.293,1.11e-05,3,0.321,2,398267,-7.179,0.283,1,audio_features,spotify:track:7ycz6sgZWp4wvF53BZVTjE,0
8,0.412,0.0644,132.986,0.0316,0.188,0.0339,4,0.32,4,396467,-12.75,0.282,0,audio_features,spotify:track:7FtRUrOEDUHTvenvp1BqZo,0
9,0.959,0.161,154.221,0.0908,0.0263,0.000148,4,0.314,4,309640,-4.657,0.492,0,audio_features,spotify:track:1HM7Vp84E4SMzdrZONg6bH,0
11,0.257,0.0935,75.752,0.0252,0.907,0.183,4,0.547,0,187867,-12.358,0.169,1,audio_features,spotify:track:7pKfPomDEeI4TPT6EOYjn9,0
13,0.441,0.362,75.221,0.0248,0.232,0.149,4,0.521,0,511013,-11.176,0.238,0,audio_features,spotify:track:236mI0lz8JdQjlmijARSwY,0
17,0.667,0.258,128.459,0.1,0.342,0.0,4,0.53,4,211385,-7.055,0.135,0,audio_features,spotify:track:1jht5YeGQx0Rg8qgcEbUpz,0
18,0.447,0.148,122.806,0.0303,0.49,0.012,3,0.453,0,407587,-10.648,0.18,1,audio_features,spotify:track:6WjWaFu6YADsMKqjmZE2g0,0
19,0.296,0.183,79.273,0.0277,0.531,0.801,4,0.413,8,424000,-13.904,0.144,0,audio_features,spotify:track:0CzeAbfKFnxnWjwo5iYiCG,0
20,0.759,0.231,179.904,0.0431,0.0555,0.0,4,0.263,0,284496,-7.288,0.429,1,audio_features,spotify:track:3pHpV3pa96s4vuBP7sQq0V,0
21,0.475,0.0887,175.977,0.363,0.524,0.0,4,0.643,9,201550,-7.964,0.157,1,audio_features,spotify:track:6ipDTIeurrftM88oQh88IZ,0
22,0.506,0.108,107.134,0.135,0.785,0.0,4,0.652,9,255962,-9.921,0.0748,0,audio_features,spotify:track:652mf6m91sSWCxsnHDwoWR,0
23,0.326,0.191,79.206,0.0386,0.864,0.0,4,0.399,7,174000,-9.239,0.546,0,audio_features,spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,0
24,0.309,0.134,127.155,0.0299,0.153,0.22,4,0.479,11,379213,-14.751,0.182,0,audio_features,spotify:track:7Fg4jpwpkdkGCvq1rrXnvx,0
25,0.591,0.0891,98.51,0.0248,0.0248,0.00275,4,0.45,2,231987,-5.551,0.283,0,audio_features,spotify:track:5CdbSPuZdIKFm5e0TUDJD8,0
26,0.852,0.0624,117.418,0.0511,0.0119,0.076,4,0.279,7,558933,-7.838,0.438,1,audio_features,spotify:track:4qsAYBCJnu2OkTKUVbbOF1,0
27,0.909,0.125,173.674,0.0574,0.135,0.0336,4,0.307,9,366136,-7.08,0.443,0,audio_features,spotify:track:3uMmllZo1AfoEnVT4ENCD3,0
28,0.656,0.0892,139.352,0.0302,0.0105,0.0,4,0.282,8,251867,-6.557,0.242,1,audio_features,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,0
29,0.14,0.309,67.058,0.0339,0.833,0.00169,4,0.262,8,441560,-20.232,0.149,1,audio_features,spotify:track:7AOwexG6AtkrmI7kdacXvQ,0
32,0.554,0.112,164.085,0.052,0.547,5.6e-05,4,0.663,7,176347,-6.793,0.279,1,audio_features,spotify:track:1ef8jV2jElVL74JzBKo6K7,0
35,0.753,0.115,172.994,0.0476,0.019,0.000664,4,0.43,4,264960,-7.309,0.455,0,audio_features,spotify:track:6JlnMdYn2xUmhMNb4LuZM8,0
39,0.733,0.0907,133.87,0.136,0.0597,3.01e-06,4,0.765,6,232373,-7.145,0.16,1,audio_features,spotify:track:6dRtvWOFjzw9nYijOWIEoy,0
41,0.43,0.188,164.267,0.0322,0.546,1.87e-05,4,0.255,9,197813,-12.564,0.546,1,audio_features,spotify:track:39q7xibBdRboeMKUbZEB6g,0
42,0.327,0.126,98.998,0.0253,0.802,1.26e-05,4,0.672,0,247954,-11.196,0.0994,1,audio_features,spotify:track:3XARTfDznSPg0HVPCGJDz0,0
43,0.237,0.109,73.024,0.0344,0.638,0.305,4,0.263,3,289792,-13.738,0.0461,1,audio_features,spotify:track:3tJjZMHLqhD8DaGgdBICnc,0
44,0.801,0.288,113.98,0.0616,0.5,0.363,4,0.408,5,428267,-6.648,0.262,1,audio_features,spotify:track:3yePZLjcJ4XNbh0vlKTZBo,0
46,0.3,0.154,162.874,0.0427,0.894,0.0,3,0.403,2,245427,-6.475,0.234,1,audio_features,spotify:track:6CGf2aPvKj7497cZ6JMmGT,0
51,0.605,0.103,103.929,0.0294,0.0047,0.00144,4,0.282,6,403453,-4.916,0.0783,0,audio_features,spotify:track:0RdUX4WE0fO30VnlUbDVL6,0
53,0.179,0.0886,96.529,0.0326,0.879,0.0,4,0.332,5,125667,-11.83,0.315,1,audio_features,spotify:track:3BQHpFgAp4l80e1XslIjNI,0
54,0.875,0.402,75.009,0.0422,0.00752,0.000461,4,0.284,11,340907,-6.069,0.595,0,audio_features,spotify:track:1L94M3KIu7QluZe63g64rv,0
55,0.59,0.0869,109.969,0.0484,0.0837,0.00821,4,0.324,4,337560,-6.94,0.22,0,audio_features,spotify:track:5GjH3tVjg5xR50B9bZ75UR,0
56,0.788,0.0848,121.98,0.0381,0.15,0.000383,4,0.55,11,287627,-5.825,0.411,0,audio_features,spotify:track:1McqRBaVgEgeF0AW97Gr5A,0
58,0.889,0.458,134.469,0.0964,0.000626,0.403,4,0.4,11,592417,-6.91,0.343,0,audio_features,spotify:track:3yALY3kIx7Z7szbRO2lRgT,0
59,0.866,0.232,109.825,0.059,0.000739,0.00141,4,0.308,2,438120,-5.671,0.227,0,audio_features,spotify:track:6p8eFfPw3nQkf37aT3AkmK,0
62,0.386,0.119,107.756,0.426,0.226,0.0,5,0.538,6,310152,-14.142,0.381,0,audio_features,spotify:track:0bdeLFRIziXGqXdz5UJDb0,0
63,0.557,0.127,159.018,0.0355,0.123,4.6e-06,4,0.193,7,366667,-7.725,0.176,1,audio_features,spotify:track:1J2uuMm8SyGEI8uPRTBc5v,0
65,0.599,0.201,112.657,0.0332,0.308,0.000333,3,0.393,9,486773,-7.337,0.344,1,audio_features,spotify:track:3BF9J3DjZuNKcfiAwkTsWK,0
68,0.828,0.133,142.589,0.0479,0.208,7.4e-05,1,0.264,2,305760,-6.195,0.21,0,audio_features,spotify:track:2GTX1cCoHvnnswgVtOUplb,0
69,0.67,0.0924,136.548,0.0307,0.0156,0.000414,4,0.374,7,235960,-7.694,0.362,1,audio_features,spotify:track:07W9HcJyjXPnKQSMbUcWZU,0
