,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,time_signature_1,time_signature_3,time_signature_4,time_signature_5,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,kmeans-3clusters
11,0.257,0.0935,75.752,0.0252,0.907,0.183,0.547,187867,-12.358,0.169,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,0.61,0.219,89.927,0.256,0.64,3.25e-05,0.638,307840,-9.588,0.473,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,0.447,0.148,122.806,0.0303,0.49,0.012,0.453,407587,-10.648,0.18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,0.296,0.183,79.273,0.0277,0.531,0.801,0.413,424000,-13.904,0.144,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,0.475,0.0887,175.977,0.363,0.524,0.0,0.643,201550,-7.964,0.157,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,0.506,0.108,107.134,0.135,0.785,0.0,0.652,255962,-9.921,0.0748,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
23,0.326,0.191,79.206,0.0386,0.864,0.0,0.399,174000,-9.239,0.546,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
29,0.14,0.309,67.058,0.0339,0.833,0.00169,0.262,441560,-20.232,0.149,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,0.554,0.112,164.085,0.052,0.547,5.6e-05,0.663,176347,-6.793,0.279,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41,0.43,0.188,164.267,0.0322,0.546,1.87e-05,0.255,197813,-12.564,0.546,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,0.327,0.126,98.998,0.0253,0.802,1.26e-05,0.672,247954,-11.196,0.0994,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,0.237,0.109,73.024,0.0344,0.638,0.305,0.263,289792,-13.738,0.0461,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,0.3,0.154,162.874,0.0427,0.894,0.0,0.403,245427,-6.475,0.234,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
53,0.179,0.0886,96.529,0.0326,0.879,0.0,0.332,125667,-11.83,0.315,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57,0.224,0.13,140.164,0.056,0.683,0.0,0.717,159093,-10.832,0.594,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
77,0.395,0.0984,132.611,0.0293,0.359,0.000173,0.456,195160,-10.129,0.243,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
83,0.631,0.105,130.019,0.0466,0.697,0.0,0.753,214154,-6.136,0.347,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,0.584,0.0893,107.245,0.421,0.448,0.0,0.489,257910,-8.834,0.0881,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
90,0.71,0.093,105.357,0.12,0.794,0.0,0.402,162444,-8.223,0.381,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,0.487,0.0648,81.972,0.0341,0.445,1.44e-05,0.486,282013,-11.633,0.373,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
93,0.274,0.0724,64.21,0.0363,0.843,0.0165,0.52,209246,-10.661,0.222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
97,0.318,0.376,121.633,0.0509,0.739,0.000528,0.501,321080,-13.753,0.285,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
111,0.521,0.214,106.055,0.0302,0.705,0.36,0.72,287933,-12.468,0.823,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
113,0.547,0.0604,108.375,0.055,0.72,0.00314,0.629,298933,-13.123,0.197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,0.413,0.311,78.04,0.159,0.29,4.2e-05,0.69,160173,-7.83,0.183,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
