,name,album,artist,release_date,duration,popularity,id,kmeans-3clusters
0,Changes,Vol. 4 (2009 Remastered Version),Black Sabbath,1972-09-25,282493,56,4MpIwDaZdFLafMDcAx4k4q,2
2,Simple Man,Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition),Lynyrd Skynyrd,1973,357933,59,6F6DxQ3XjToEHX1e2KKSbg,2
3,Can't Let You Go,Bent Out Of Shape,Rainbow,1983-01-01,259866,50,2L6LeWFHYhcxisYJ9X0Adn,2
5,Follow Your Heart,Follow Your Heart,Scorpions,2017-11-10,245626,55,1EJZQ6uhrvl4JtoKn7RKFd,2
7,Scene Eight: The Spirit Carries On,"Metropolis, Pt. 2: Scenes from a Memory",Dream Theater,1999-01-01,398266,54,7ycz6sgZWp4wvF53BZVTjE,2
8,Catch The Rainbow,Ritchie Blackmore's Rainbow,Rainbow,1975-01-01,396466,59,7FtRUrOEDUHTvenvp1BqZo,2
9,Wasted Years - 2015 Remaster,Somewhere in Time (2015 Remaster),Iron Maiden,1986,309640,67,1HM7Vp84E4SMzdrZONg6bH,2
13,High Hopes - 2011 Remaster,The Division Bell (2011 Remastered Version),Pink Floyd,1994-03-28,511013,56,236mI0lz8JdQjlmijARSwY,2
14,Perfect Strangers,Perfect Strangers,Deep Purple,1984-09-16,328426,66,2JhJOPGvtqMpj5RQC8cIYf,2
17,Flary,Ground Zero Mixtape,PRO8L3M,2018-03-16,211384,53,1jht5YeGQx0Rg8qgcEbUpz,2
20,Is This Love - 2018 Remaster,Whitesnake (2018 Remaster),Whitesnake,1987,284496,68,3pHpV3pa96s4vuBP7sQq0V,2
24,Comfortably Numb - 2011 Remastered Version,The Wall (Remastered),Pink Floyd,1979-11-30,379213,67,7Fg4jpwpkdkGCvq1rrXnvx,2
25,When the Smoke Is Going Down - 2015 Remaster,Blackout,Scorpions,1982-03-29,231986,50,5CdbSPuZdIKFm5e0TUDJD8,2
26,Free Bird,Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition),Lynyrd Skynyrd,1973,558933,59,4qsAYBCJnu2OkTKUVbbOF1,2
27,Highway Star - Remastered 2012,Machine Head (Remastered),Deep Purple,1972-03-25,366136,68,3uMmllZo1AfoEnVT4ENCD3,2
28,"Mama, I'm Coming Home",No More Tears (Expanded Edition),Ozzy Osbourne,1991-09-17,251866,68,0S3gpZzlT9Hb7CCSV2owX7,2
35,Oprócz błękitnego nieba,"Najlepsze Hity Dla Ciebie Polskie, Vol. 2",Various Artists,2015-06-23,264960,2,6JlnMdYn2xUmhMNb4LuZM8,2
37,Mieć czy być,Happiness Is Easy,Myslovitz,2006-05-12,192160,51,0z3GnQC4I6HDNHM16Cgvj8,2
40,It's My Life,Crush,Bon Jovi,2000-01-01,224493,80,0v1XpBHnsbkCn7iJ9Ucr1l,2
44,Layla,Complete Clapton,Eric Clapton,2007-01-01,428266,41,3yePZLjcJ4XNbh0vlKTZBo,2
51,Still Loving You,Comeblack,Scorpions,2011-11-04,403453,73,0RdUX4WE0fO30VnlUbDVL6,2
54,Alive,Ten,Pearl Jam,1991-08-27,340907,76,1L94M3KIu7QluZe63g64rv,2
55,Deus In Absentia,Meliora (Deluxe Edition),Ghost,2016-09-16,337560,39,5GjH3tVjg5xR50B9bZ75UR,2
56,Just Call My Name (I'll Be There),The Village Lanterne,Blackmore's Night,2006-04-04,287626,0,1McqRBaVgEgeF0AW97Gr5A,2
58,"Strange Kind Of Woman - Live In Osaka, Japan / 16th August 1972 / 2014 Remaster",Made In Japan (Deluxe / 2014 Remaster),Deep Purple,1972,592417,32,3yALY3kIx7Z7szbRO2lRgT,2
59,Fear of the Dark - 2015 Remaster,Fear of the Dark (2015 Remaster),Iron Maiden,1992,438120,72,6p8eFfPw3nQkf37aT3AkmK,2
63,Sailing Ships - 2009 Remaster,Slip of the Tongue (20th Anniversary Expanded Edition),Whitesnake,1989-11-18,366666,35,1J2uuMm8SyGEI8uPRTBc5v,2
64,Ain't No Love In The Heart Of The City - 2003 Remastered Version,Best of Whitesnake,Whitesnake,2003-03-24,308240,39,13jO52N4hQGFXe4XYKnDRZ,2
65,I'd Rather Go Blind,Don't Explain,"Beth Hart, Joe Bonamassa",2011-09-27,486773,55,3BF9J3DjZuNKcfiAwkTsWK,2
68,The Prophecy - 2015 Remaster,Seventh Son of a Seventh Son (2015 Remaster),Iron Maiden,1988,305760,44,2GTX1cCoHvnnswgVtOUplb,2
69,Wasted Sunsets,Perfect Strangers,Deep Purple,1984-09-16,235960,46,07W9HcJyjXPnKQSMbUcWZU,2
70,Mistreated - Remastered 2004,Burn (30th Anniversary Edition),Deep Purple,1974-02-15,448333,45,34RISamoO5iubsOanSlpQo,2
76,Black,Ten,Pearl Jam,1991-08-27,342653,74,5Xak5fmy089t0FYmh3VJiY,2
79,King of Dreams,Slaves and Masters (Bonus Track Version),Deep Purple,1990-10-05,326013,41,4HomPKDsqVz9xAtW2zyMO2,2
