,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
1,Restart,Restart,Shellerini,2019-10-02,275294,34,2unYQbgst3vkYdAxH1rbEp,1
10,Dym,Dym,Paluch,2017-06-26,229090,37,7EVqVTLvN1u5SQZlRGCkow,1
11,Imagine - Remastered 2010,Imagine,John Lennon,1971-09-09,187866,76,7pKfPomDEeI4TPT6EOYjn9,1
12,Toskania Outro,Europa,Taco Hemingway,2020-09-04,307840,46,2TYx5h3sQMNbDvX2ymvlDX,1
15,Skrable,Art Brut 2,PRO8L3M,2020-03-07,243546,56,6KMvWbvvvD205ZhvXmjxVr,1
16,Mówiłaś Mi…,Ja Tu Tylko Sprzątam,O.S.T.R.,2008-02-22,210306,44,3sHjkMe0OK4zI2nD85Oilh,1
18,On an Island,On an Island,David Gilmour,2006-03-07,407586,41,6WjWaFu6YADsMKqjmZE2g0,1
19,Brothers In Arms,Brothers In Arms,Dire Straits,1985-05-13,424000,3,0CzeAbfKFnxnWjwo5iYiCG,1
21,Telstar,Alma Mater,Shellerini,2019-10-11,201549,24,6ipDTIeurrftM88oQh88IZ,1
22,Między słowami,Egzotyka,Quebonafide,2017-06-07,255961,32,652mf6m91sSWCxsnHDwoWR,1
23,Feeling Good,I Put A Spell On You,Nina Simone,1965-06-01,174000,72,6Rqn2GFlmvmV4w9Ala0I1e,1
29,Rainbow Eyes,Long Live Rock N Roll (Deluxe Edition),Rainbow,1978,441560,46,7AOwexG6AtkrmI7kdacXvQ,1
31,BUBBLETEA,ROMANTIC PSYCHO,Quebonafide,2020-04-02,284000,49,7eBYMVok43QesT0KnuIkjn,1
32,Wiking,Wszystko co złe,Sarius,2018-08-31,176346,52,1ef8jV2jElVL74JzBKo6K7,1
34,Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1985,438493,77,1ko2lVN0vKGUl9zrU0qSlT,1
41,"Take Me Home, Country Roads","The John Denver Collection, Vol 1: Take Me Home Country Roads",John Denver,1997-06-17,197813,6,39q7xibBdRboeMKUbZEB6g,1
42,Wiśnia,Wiśnia,Kaśka Sochacka,2019-10-27,247954,35,3XARTfDznSPg0HVPCGJDz0,1
43,Saturn,Atlas: I,Sleeping At Last,2014-07-08,289792,66,3tJjZMHLqhD8DaGgdBICnc,1
44,Layla,Complete Clapton,Eric Clapton,2007-01-01,428266,40,3yePZLjcJ4XNbh0vlKTZBo,1
46,Remedy,25,Adele,2015-11-20,245426,0,6CGf2aPvKj7497cZ6JMmGT,1
47,Black Velvet,Alannah Myles,Alannah Myles,1989-03-14,287440,71,1KU5EHSz04JhGg3rReGJ0N,1
52,Sacrum,Dekada,Mezo,2016-01-01,255746,0,7qWwr8sJ6faH3EKrbnpn2X,1
53,Yesterday - Remastered 2009,Help! (Remastered),The Beatles,1965-08-06,125666,75,3BQHpFgAp4l80e1XslIjNI,1
57,When I'm Sixty Four,Yellow Submarine Songtrack,The Beatles,2014-01-01,159093,43,1zdBFL2UtwbCEubEdcdSmU,1
60,Dwuzłotówki Dancing,Jarmark,Taco Hemingway,2020-08-28,284373,44,6ylgfbnMGbhHqnIIlvSlff,1
62,Wszystko Jedno,Trójkąt warszawski,Taco Hemingway,2015-05-13,310151,0,0bdeLFRIziXGqXdz5UJDb0,1
77,Soldier of Fortune,The Platinum Collection,Deep Purple,2005-06-17,195160,49,7uRcUUmZpU4YVZFNVZnyXd,1
83,W Moim Życiu,Ostatni Krzyk Osiedla,Paluch,2016-11-25,214153,44,1Z7Zp7A4TgD5uzYieBItBg,1
84,Cardio,Cardio,Paluch,2017-10-12,257910,30,2DssdqAjNPUpI3qUy67FrR,1
86,FALA,FALA,Guzior,2020-10-27,256000,56,191yHIyhUqBpU2VYNFVbID,1
88,Szaman,Ostatni Krzyk Osiedla,Paluch,2016-11-25,248195,54,0efg1XQEkIk60cfAYEmkCV,1
89,Magenta (prod. Auer),Muzyka współczesna,Pezet,2019-09-27,200333,58,07Agqdd4SD83JRgN19OjdW,1
90,Zorza,Egzotyka,Quebonafide,2017-06-07,162443,34,1GNYdCljVysaihacr6Y0Wt,1
91,The Temple Of The King,Ritchie Blackmore's Rainbow,Rainbow,1975-01-01,282013,64,0gaMmmhGi5buPXpquSAfxg,1
93,When A Blind Man Cries - Remastered,Machine Head (Remastered),Deep Purple,1972-03-25,209246,58,0JtcFIgrkSagrM5JdFakeO,1
94,Grand Prix,Europa,Taco Hemingway,2020-09-04,184546,46,4aVbwkLJ7G4b972zlYhPJa,1
95,Luxembourg,Europa,Taco Hemingway,2020-09-04,196946,51,0wuuk1Hr5j9uDT5j4J28s3,1
97,Wish You Were Here,Echoes: The Best of Pink Floyd,Pink Floyd,2001-11-06,321080,43,6iMjntVYkchLBJcqsiSNYZ,1
111,Wonderful Life,Wonderful Life,Black,1987-01-01,287933,69,0IWtEFQBwRHaMXZQtGEVcM,1
