,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,kmeans-2clusters
1,0.573,0.145,84.967,0.433,0.361,0.0,0.744,275294,-8.068,0.398,1
10,0.588,0.117,96.032,0.2,0.524,0.00033,0.882,229091,-9.368,0.651,1
11,0.257,0.0935,75.752,0.0252,0.907,0.183,0.547,187867,-12.358,0.169,1
12,0.61,0.219,89.927,0.256,0.64,3.25e-05,0.638,307840,-9.588,0.473,1
15,0.647,0.0604,124.018,0.131,0.608,0.0,0.839,243547,-7.624,0.44,1
16,0.755,0.5,88.165,0.286,0.413,0.0,0.685,210307,-4.216,0.477,1
18,0.447,0.148,122.806,0.0303,0.49,0.012,0.453,407587,-10.648,0.18,1
19,0.296,0.183,79.273,0.0277,0.531,0.801,0.413,424000,-13.904,0.144,1
21,0.475,0.0887,175.977,0.363,0.524,0.0,0.643,201550,-7.964,0.157,1
22,0.506,0.108,107.134,0.135,0.785,0.0,0.652,255962,-9.921,0.0748,1
23,0.326,0.191,79.206,0.0386,0.864,0.0,0.399,174000,-9.239,0.546,1
29,0.14,0.309,67.058,0.0339,0.833,0.00169,0.262,441560,-20.232,0.149,1
31,0.739,0.139,98.091,0.207,0.541,0.0,0.664,284000,-7.207,0.438,1
32,0.554,0.112,164.085,0.052,0.547,5.6e-05,0.663,176347,-6.793,0.279,1
34,0.497,0.0504,95.818,0.105,0.41,0.0499,0.749,438493,-12.609,0.585,1
41,0.43,0.188,164.267,0.0322,0.546,1.87e-05,0.255,197813,-12.564,0.546,1
42,0.327,0.126,98.998,0.0253,0.802,1.26e-05,0.672,247954,-11.196,0.0994,1
43,0.237,0.109,73.024,0.0344,0.638,0.305,0.263,289792,-13.738,0.0461,1
44,0.801,0.288,113.98,0.0616,0.5,0.363,0.408,428267,-6.648,0.262,1
46,0.3,0.154,162.874,0.0427,0.894,0.0,0.403,245427,-6.475,0.234,1
47,0.366,0.106,91.147,0.0312,0.273,9.04e-05,0.754,287440,-10.07,0.469,1
52,0.668,0.148,87.959,0.0793,0.522,0.0,0.621,255747,-7.146,0.663,1
53,0.179,0.0886,96.529,0.0326,0.879,0.0,0.332,125667,-11.83,0.315,1
57,0.224,0.13,140.164,0.056,0.683,0.0,0.717,159093,-10.832,0.594,1
60,0.74,0.343,155.005,0.32,0.74,1.45e-06,0.687,284373,-6.581,0.754,1
62,0.386,0.119,107.756,0.426,0.226,0.0,0.538,310152,-14.142,0.381,1
77,0.395,0.0984,132.611,0.0293,0.359,0.000173,0.456,195160,-10.129,0.243,1
83,0.631,0.105,130.019,0.0466,0.697,0.0,0.753,214154,-6.136,0.347,1
84,0.584,0.0893,107.245,0.421,0.448,0.0,0.489,257910,-8.834,0.0881,1
86,0.626,0.145,119.975,0.262,0.292,0.0,0.8,256000,-5.724,0.0943,1
88,0.476,0.128,124.044,0.222,0.285,0.0,0.854,248195,-8.037,0.219,1
89,0.842,0.124,132.996,0.225,0.519,7.28e-06,0.742,200333,-6.421,0.564,1
