,name,album,artist,release_date,duration,popularity,id
0,Changes,Vol. 4 (2009 Remastered Version),Black Sabbath,1972-09-25,282493,55,4MpIwDaZdFLafMDcAx4k4q
1,Restart,Restart,Shellerini,2019-10-02,275294,34,2unYQbgst3vkYdAxH1rbEp
2,Simple Man,Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition),Lynyrd Skynyrd,1973,357933,58,6F6DxQ3XjToEHX1e2KKSbg
3,Can't Let You Go,Bent Out Of Shape,Rainbow,1983-01-01,259866,51,2L6LeWFHYhcxisYJ9X0Adn
4,Z Tobą,Wojtek Sokół,Sokół,2019-02-15,253533,0,0eZO12gIzIJ1HnV59OvYGT
5,Follow Your Heart,Follow Your Heart,Scorpions,2017-11-10,245626,54,1EJZQ6uhrvl4JtoKn7RKFd
6,Drugi Brzeg,Drugi Brzeg,Paluch,2020-07-04,206582,39,3qXIUQwBPM6ZMgDQZxQAYX
7,Scene Eight: The Spirit Carries On,"Metropolis, Pt. 2: Scenes from a Memory",Dream Theater,1999-01-01,398266,54,7ycz6sgZWp4wvF53BZVTjE
8,Catch The Rainbow,Ritchie Blackmore's Rainbow,Rainbow,1975-01-01,396466,58,7FtRUrOEDUHTvenvp1BqZo
9,Wasted Years - 2015 Remaster,Somewhere in Time (2015 Remaster),Iron Maiden,1986,309640,66,1HM7Vp84E4SMzdrZONg6bH
10,Dym,Dym,Paluch,2017-06-26,229090,37,7EVqVTLvN1u5SQZlRGCkow
11,Imagine - Remastered 2010,Imagine,John Lennon,1971-09-09,187866,76,7pKfPomDEeI4TPT6EOYjn9
12,Toskania Outro,Europa,Taco Hemingway,2020-09-04,307840,46,2TYx5h3sQMNbDvX2ymvlDX
13,High Hopes - 2011 Remaster,The Division Bell (2011 Remastered Version),Pink Floyd,1994-03-28,511013,55,236mI0lz8JdQjlmijARSwY
14,Perfect Strangers,Perfect Strangers,Deep Purple,1984-09-16,328426,65,2JhJOPGvtqMpj5RQC8cIYf
15,Skrable,Art Brut 2,PRO8L3M,2020-03-07,243546,56,6KMvWbvvvD205ZhvXmjxVr
16,Mówiłaś Mi…,Ja Tu Tylko Sprzątam,O.S.T.R.,2008-02-22,210306,44,3sHjkMe0OK4zI2nD85Oilh
17,Flary,Ground Zero Mixtape,PRO8L3M,2018-03-16,211384,53,1jht5YeGQx0Rg8qgcEbUpz
18,On an Island,On an Island,David Gilmour,2006-03-07,407586,41,6WjWaFu6YADsMKqjmZE2g0
19,Brothers In Arms,Brothers In Arms,Dire Straits,1985-05-13,424000,3,0CzeAbfKFnxnWjwo5iYiCG
20,Is This Love - 2018 Remaster,Whitesnake (2018 Remaster),Whitesnake,1987,284496,68,3pHpV3pa96s4vuBP7sQq0V
21,Telstar,Alma Mater,Shellerini,2019-10-11,201549,24,6ipDTIeurrftM88oQh88IZ
22,Między słowami,Egzotyka,Quebonafide,2017-06-07,255961,32,652mf6m91sSWCxsnHDwoWR
23,Feeling Good,I Put A Spell On You,Nina Simone,1965-06-01,174000,72,6Rqn2GFlmvmV4w9Ala0I1e
24,Comfortably Numb - 2011 Remastered Version,The Wall (Remastered),Pink Floyd,1979-11-30,379213,66,7Fg4jpwpkdkGCvq1rrXnvx
25,When the Smoke Is Going Down - 2015 Remaster,Blackout,Scorpions,1982-03-29,231986,49,5CdbSPuZdIKFm5e0TUDJD8
26,Free Bird,Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition),Lynyrd Skynyrd,1973,558933,59,4qsAYBCJnu2OkTKUVbbOF1
27,Highway Star - Remastered 2012,Machine Head (Remastered),Deep Purple,1972-03-25,366136,67,3uMmllZo1AfoEnVT4ENCD3
28,"Mama, I'm Coming Home",No More Tears (Expanded Edition),Ozzy Osbourne,1991-09-17,251866,68,0S3gpZzlT9Hb7CCSV2owX7
29,Rainbow Eyes,Long Live Rock N Roll (Deluxe Edition),Rainbow,1978,441560,46,7AOwexG6AtkrmI7kdacXvQ
